Slug,:draft,Logotype,Division,LockUp,Color,Optical-Size,®-Symbol,Image,Image:alt,SVG,PDF,PNG,JPEG
kh-ai-l-c,false,KH,A+I,C,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White.svg,"KORTE HOFFMANN A+I Logo, Größe L, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_Color (Dark).jpg
kh-ai-l-c-no-r,false,KH,A+I,C,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe L, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_L_Center (KH)_Black_No-(R).jpg
kh-ai-m-c,false,KH,A+I,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White.svg,"KORTE HOFFMANN A+I Logo, Größe M, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_Color (Dark).jpg
kh-ai-m-c-no-r,false,KH,A+I,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe M, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_M_Center (KH)_Black_No-(R).jpg
kh-ai-s-c,false,KH,A+I,C,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White.svg,"KORTE HOFFMANN A+I Logo, Größe S, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_Color (Dark).jpg
kh-ai-s-c-no-r,false,KH,A+I,C,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White_No-(R).svg,"KORTE HOFFMANN A+I Logo, Größe S, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Architekten + Ingenieure/Architekten+Ingenieure_S_Center (KH)_Black_No-(R).jpg
kh-g-l-c,false,KH,G,C,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White.svg,"KORTE HOFFMANN G Logo, Größe L, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_Color (Dark).jpg
kh-g-l-c-no-r,false,KH,G,C,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe L, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_L_Center (KH)_Black_No-(R).jpg
kh-g-m-c,false,KH,G,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White.svg,"KORTE HOFFMANN G Logo, Größe M, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_Color (Dark).jpg
kh-g-m-c-no-r,false,KH,G,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe M, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_M_Center (KH)_Black_No-(R).jpg
kh-g-s-c,false,KH,G,C,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White.svg,"KORTE HOFFMANN G Logo, Größe S, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_Color (Dark).jpg
kh-g-s-c-no-r,false,KH,G,C,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White_No-(R).svg,"KORTE HOFFMANN G Logo, Größe S, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH Gebäudedruck/Gebäudedruck_S_Center (KH)_Black_No-(R).jpg
kh-gr-l-c,false,KH,GR,C,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White.svg,"KORTE HOFFMANN GR Logo, Größe L, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_Black.jpg
kh-gr-l-c-no-r,false,KH,GR,C,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe L, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_L_Center%20(KH)_Black_No-(R).jpg
kh-gr-m-c,false,KH,GR,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White.svg,"KORTE HOFFMANN GR Logo, Größe M, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_Black.jpg
kh-gr-m-c-no-r,false,KH,GR,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe M, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_M_Center%20(KH)_Black_No-(R).jpg
kh-gr-s-c,false,KH,GR,C,,S,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White.svg,"KORTE HOFFMANN GR Logo, Größe S, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_Black.jpg
kh-gr-s-c-no-r,false,KH,GR,C,,S,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White_No-(R).svg,"KORTE HOFFMANN GR Logo, Größe S, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20GRUPPE/Gruppe_S_Center%20(KH)_Black_No-(R).jpg
kh-i-l-c,false,KH,I,C,,L,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White.svg,"KORTE HOFFMANN I Logo, Größe L, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_Color%20(Dark).jpg
kh-i-l-c-no-r,false,KH,I,C,,L,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe L, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_L_Center%20(KH)_Black_No-(R).jpg
kh-i-m-c,false,KH,I,C,,M,true,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White.svg,"KORTE HOFFMANN I Logo, Größe M, Zentriert, KH",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White.svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White.pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White.png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_Color%20(Dark).jpg
kh-i-m-c-no-r,false,KH,I,C,,M,false,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White_No-(R).svg,"KORTE HOFFMANN I Logo, Größe M, Zentriert, KH, ohne ®-Symbol",https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White_No-(R).svg,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White_No-(R).pdf,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_White_No-(R).png,https://raw.githubusercontent.com/ALXRITR/Korte-Hoffmann/main/Logo/KH%20Immobilien/Immobilien_M_Center%20(KH)_Black_No-(R).jpg
